# ra dec outfile
180.74066400585647 -1.6226427059905693 40044243548403385.png
180.74202902418978 -1.6231163931721508 40044243548403387.png
180.72043282053983 -1.6214710396630159 40044243548403441.png
180.68035265382665 -1.6221815022214232 40044243548403447.png
180.67539815691734 -1.621624502811025 40044243548403471.png
180.66965728962768 -1.6169492416911144 40044243548403545.png
180.68543232179982 -1.6159500376417635 40044243548403600.png
180.73013128326713 -1.6170081301580386 40044243548403617.png
180.65876417081637 -1.6157519336925552 40044243548403624.png
180.71254225490682 -1.6148219308905845 40044243548403680.png
180.712904756382 -1.6148858397359853 40044243548403681.png
180.71008406103718 -1.614235624995028 40044243548403704.png
180.72625982092 -1.6121863372831915 40044243548403745.png
180.72898613274117 -1.611415090293685 40044243548403776.png
180.72085038386703 -1.6107078879977135 40044243548403805.png
180.68391549169087 -1.6109522608277904 40044243548403813.png
180.6957186100079 -1.6092364955191372 40044243548403842.png
180.66340831310464 -1.6090127473460873 40044243548403850.png
180.66891937856568 -1.6089793682999376 40044243548403882.png
180.6879072345891 -1.6082121931377364 40044243548403893.png
180.7313568674758 -1.6078258919227613 40044243548403904.png
180.6913230302319 -1.6034062964277602 40044243548404090.png
180.72540515600258 -1.6041177024872044 40044243548404119.png
180.68251061834118 -1.6024106268707368 40044243548404155.png
180.68570694967107 -1.6012403290527164 40044243548404161.png
180.70663699668674 -1.597188457870349 40044243548404162.png
180.69436312826528 -1.5918653517209056 40044243548404168.png
180.6926980510095 -1.5966115193917325 40044243548404187.png
180.69558235672747 -1.5964174879077973 40044243548404198.png
180.69113720723533 -1.5969017525337086 40044243548404258.png
180.73115711928733 -1.6015879583173955 40044243548404314.png
180.7113897661583 -1.6006836067426746 40044243548404378.png
180.7173505706513 -1.6009496882373373 40044243548404382.png
180.67332352530153 -1.6009490098041097 40044243548404473.png
180.6545578465829 -1.6002502236988227 40044243548404476.png
180.7409297652788 -1.5985994611962613 40044243548404576.png
180.67863412522237 -1.5969605047362077 40044243548404645.png
180.73181770066725 -1.5965150463928854 40044243548404691.png
180.655206574359 -1.595552894692866 40044243548404708.png
180.68248765866912 -1.5968368944460645 40044243548404722.png
180.66714966186427 -1.5938551885458765 40044243548404818.png
180.74237622896536 -1.5929777062260158 40044243548404902.png
180.6772514643353 -1.593474046109897 40044243548404916.png
180.6774224811243 -1.5921721378936988 40044243548404917.png
180.728853956757 -1.5918166404309733 40044243548404924.png
180.68230059853724 -1.5912855653279343 40044243548404934.png
180.7100606184565 -1.5906854262025956 40044243548404961.png
180.67307222452325 -1.589460725015586 40044243548405089.png
180.6889764517621 -1.5872395482256403 40044243548405114.png
180.6581910887678 -1.5858483627808817 40044243548405194.png
180.73378601443292 -1.5850582653874221 40044243548405220.png
180.66081428157696 -1.5839548703906832 40044243548405250.png
180.6726112088607 -1.5831244751338334 40044243548405276.png
180.67181362005638 -1.5855065706548916 40044243548405277.png
180.65401393691906 -1.5817566303386479 40044243548405371.png
180.70817763324172 -1.580370604615959 40044243548405492.png
180.72493730658877 -1.5792045255419178 40044243548405513.png
180.73054889891577 -1.5529026546613414 40044247843341697.png
180.71995664855743 -1.5405972812133066 40044247843342224.png
180.742425576114 -1.5290699792610087 40044247843342733.png
180.7089722433139 -1.5273588943053502 40044247843342809.png
180.70221228232046 -1.5258423783918 40044247843342880.png
180.71123793586173 -1.5233547898720203 40044247843342980.png
180.71707858500935 -1.5172620146882403 40044247843343245.png
180.67225311458662 -1.5134097560272994 40044247843343445.png
180.67837025449455 -1.5053949578685317 40044247843343831.png
180.66387520195389 -1.4984131213517908 40044247843344165.png
180.68643828542454 -1.493629318436064 40044247843344358.png
180.68267110839454 -1.4907553512025504 40044247843344482.png
180.65442145474708 -1.4880261576733276 40044247843344609.png
180.66115943995038 -1.570472928826774 40044247843362996.png
180.74016338700264 -1.5729403556001844 40044247843363052.png
180.65648654568034 -1.5726406278810696 40044247843363078.png
180.70347998524886 -1.5725328941618557 40044247843363130.png
180.70400265693354 -1.572485675858462 40044247843363132.png
180.7185054063832 -1.5667696910193067 40044247843363307.png
180.69449249379122 -1.5671808148141102 40044247843363312.png
180.6915811277814 -1.5656569434896086 40044247843363342.png
180.69054077585818 -1.5661988667950941 40044247843363343.png
180.6682690365729 -1.566956392772225 40044247843363349.png
180.72663535153197 -1.5649323892639857 40044247843363465.png
180.7349876602643 -1.5609603711614768 40044247843363625.png
180.72764765641782 -1.5604968745598657 40044247843363635.png
180.72974702269312 -1.5599875168783588 40044247843363642.png
180.69407829543536 -1.5595343324705127 40044247843363682.png
180.70772105192626 -1.5590943094996277 40044247843363691.png
180.69632229677987 -1.558956726017895 40044247843363694.png
180.73415098168283 -1.5585255226195864 40044247843363717.png
180.6614873364603 -1.5590563180047594 40044247843363796.png
180.7288890800952 -1.5579798021457902 40044247843363812.png
180.69544958334063 -1.5556327443942395 40044247843363857.png
180.69628626026642 -1.556312112732448 40044247843363858.png
180.67005359484963 -1.5564635357831305 40044247843363881.png
180.70430800446945 -1.5557650359947703 40044247843363908.png
180.72800743439694 -1.5554444154428708 40044247843363918.png
180.7286835766879 -1.5557606941164672 40044247843363919.png
180.72581832457524 -1.5559577068534598 40044247843363920.png
180.74281942203407 -1.5554980104957639 40044247843363937.png
180.6692536099947 -1.5540019627710362 40044247843363962.png
180.7375996585649 -1.547632442206248 40044247843364189.png
180.73729282451123 -1.5478804710653882 40044247843364190.png
180.71651285719764 -1.5489544037963452 40044247843364197.png
180.73578279231853 -1.5467666480407105 40044247843364235.png
180.70496719844684 -1.54323875416759 40044247843364276.png
180.6704936766421 -1.5452218962813682 40044247843364376.png
180.71653612391682 -1.54257892835307 40044247843364407.png
180.72598333499445 -1.5453601572845652 40044247843364414.png
180.7334963960039 -1.5432732176231199 40044247843364473.png
180.68381780815847 -1.5435364424593696 40044247843364475.png
180.66875500407787 -1.5428931698628983 40044247843364478.png
180.68777545640256 -1.5411071769597948 40044247843364522.png
180.71736725144123 -1.5412632121381165 40044247843364558.png
180.6848439202972 -1.5400839935215178 40044247843364589.png
