# ra dec outfile fov
348.41196664045475 1.1684889633750035 42679081430441556.png 4.199999809265137
348.38149196861764 1.169851099045333 42679081430441607.png 2.299999952316284
348.28993338966376 1.170219811626669 42679081430441649.png 3.0
348.24342600244034 1.1787505767633688 42679081430441931.png 5.0
348.3817880562688 1.1797979629775273 42679081430441978.png 3.700000047683716
348.38309587230805 1.181658204361462 42679081430442030.png 5.699999809265137
348.3727513932699 1.1843047972487142 42679081430442134.png 3.4000000953674316
348.258919276203 1.1888949847035701 42679081430442151.png 4.199999809265137
348.2582890117459 1.1861545732576708 42679081430442152.png 3.5
348.25947393261407 1.188907786186999 42679081430442154.png 11.5
348.36823286384345 1.1862647443152572 42679081430442227.png 2.299999952316284
348.41617794359513 1.1896965156967594 42679081430442331.png 6.300000190734863
348.3661720275184 1.1927839775453888 42679081430442495.png 2.700000047683716
348.30150949786224 1.193366767592599 42679081430442567.png 5.900000095367432
348.26887835863226 1.198597342421218 42679081430442665.png 5.0
348.2741047563177 1.1997028765822682 42679081430442697.png 5.800000190734863
348.3051157727454 1.199786200196838 42679081430442749.png 3.5999999046325684
348.3570199465423 1.1996049202321908 42679081430442775.png 3.700000047683716
348.37973819258025 1.2004410710530917 42679081430442787.png 3.5
348.29707687140666 1.2021432069443243 42679081430442874.png 6.599999904632568
348.31318163250285 1.2025834366924808 42679081430442893.png 4.099999904632568
348.30856882907545 1.2026207686158907 42679081430442896.png 3.299999952316284
348.25867830440825 1.2040487906371389 42679081430442954.png 3.799999952316284
348.32130651301804 1.2056067165664015 42679081430442987.png 4.099999904632568
348.37543054181555 1.2052995294536866 42679081430443002.png 4.099999904632568
348.2988854978311 1.2070977892801302 42679081430443042.png 11.899999618530273
348.30891131330037 1.2090002529214245 42679081430443106.png 4.300000190734863
348.38404269658315 1.2089847198103472 42679081430443137.png 2.700000047683716
348.30293166518305 1.210238210583219 42679081430443188.png 3.799999952316284
348.28201221724373 1.2117874389131216 42679085725384998.png 3.4000000953674316
348.28372772566655 1.21959711486284 42679085725385395.png 5.0
348.32997215084924 1.231325129802858 42679085725385984.png 6.099999904632568
348.4004102476082 1.235741124228079 42679085725386286.png 3.799999952316284
348.2658288442138 1.2422211129144975 42679085725386643.png 2.9000000953674316
348.3179276754367 1.2511426842072493 42679085725387088.png 4.300000190734863
348.29263884464683 1.2913654327459458 42679085725389141.png 4.199999809265137
348.38161748855714 1.2954982702270128 42679085725389377.png 5.199999809265137
348.3608360128365 1.3328199269521868 42679085725391343.png 3.299999952316284
348.3235093547007 1.3330953271849535 42679085725391366.png 2.5999999046325684
348.31986592961846 1.333475496508634 42679085725391398.png 4.599999904632568
348.3639718439601 1.3380839250386436 42679085725391650.png 5.300000190734863
348.3537703471051 1.339867969763204 42679085725391717.png 5.099999904632568
348.2893317852223 1.342219534850031 42679085725391844.png 3.799999952316284
348.34513747459016 1.3550690518577715 42679085725392491.png 5.599999904632568
348.29591985619055 1.3567436281642187 42679085725392591.png 3.200000047683716
348.34027017268414 1.357138998024178 42679085725392621.png 3.0999999046325684
348.2494632004509 1.3616849641826767 42679085725392853.png 3.5
348.2723858447641 1.3623026000397076 42679085725392882.png 4.800000190734863
348.4124681370681 1.3674056096225464 42679085725393169.png 3.5
348.3515741404188 1.3808265782499887 42679085725393824.png 4.699999809265137
348.378947063666 1.3941650036275361 42679085725394492.png 3.5
348.37829328627004 1.397081725825585 42679085725394651.png 4.699999809265137
348.24766401226447 1.213724602669067 42679085725405493.png 2.799999952316284
348.2492257846454 1.2135440767093695 42679085725405494.png 3.5999999046325684
348.2927784594014 1.2167756033739694 42679085725405573.png 5.900000095367432
348.38206267359044 1.2181986531820421 42679085725405611.png 3.200000047683716
348.2541223290999 1.2192197520896249 42679085725405639.png 3.4000000953674316
348.2529538393205 1.2170167563050465 42679085725405641.png 4.599999904632568
348.3694239414501 1.219264603302042 42679085725405711.png 4.099999904632568
348.3688591100663 1.2213890150338673 42679085725405712.png 4.099999904632568
